customer_id,customer_name,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST-0500,Phillip Berry,3,23,23374.37,5,5,5,15,Champions
CUST-0075,Amy Silva,7,23,25733.079999999998,5,5,5,15,Champions
CUST-0060,John Daniel,9,28,24976.59,5,5,5,15,Champions
CUST-0448,Shelly Spencer,2,24,29697.989999999998,5,5,5,15,Champions
CUST-0422,Maria Jones,1,25,23331.85,5,5,5,15,Champions
CUST-0399,Ashley Hicks,10,26,30739.83,5,5,5,15,Champions
CUST-0100,Stephen Mckee,8,22,27049.5,5,5,5,15,Champions
CUST-0236,Kathryn Snyder,9,26,23161.57,5,5,5,15,Champions
CUST-0463,Riley Bryant,8,22,25835.76,5,5,5,15,Champions
CUST-0266,Joshua Reed,3,24,31297.579999999998,5,5,5,15,Champions
CUST-0176,Alex Hernandez,9,24,25086.71,5,5,5,15,Champions
CUST-0156,Michelle Brown,8,29,25968.739999999998,5,5,5,15,Champions
CUST-0462,Eric Williams,3,22,28837.07,5,5,5,15,Champions
CUST-0285,Stephanie Williams,5,28,40117.33,5,5,5,15,Champions
CUST-0057,Timothy Duncan,21,22,23165.15,4,5,5,14,Champions
CUST-0459,Aaron Miller,10,19,22382.09,5,4,5,14,Champions
CUST-0455,Alfred Galvan,4,20,26503.83,5,4,5,14,Champions
CUST-0002,Noah Rhodes,4,21,25134.37,5,4,5,14,Champions
CUST-0001,Allison Hill,1,20,26945.449999999997,5,4,5,14,Champions
CUST-0004,Daniel Wagner,12,26,34704.89,4,5,5,14,Champions
CUST-0115,Garrett Lin,12,23,24306.45,4,5,5,14,Champions
CUST-0200,Nathan Freeman,11,23,24014.66,4,5,5,14,Champions
CUST-0141,Cheyenne Horton,11,24,23836.53,4,5,5,14,Champions
CUST-0165,Michael Powell,7,24,19667.350000000002,5,5,4,14,Champions
CUST-0356,Jesse Perez,13,23,23139.64,4,5,5,14,Champions
CUST-0489,Bobby Guerrero,13,26,34259.64,4,5,5,14,Champions
CUST-0198,Spencer Haynes,6,22,21322.1,5,5,4,14,Champions
CUST-0296,John Young,1,22,20196.47,5,5,4,14,Champions
CUST-0346,Theresa Williams,1,22,20752.33,5,5,4,14,Champions
CUST-0402,Craig Morrison,13,25,33628.25,4,5,5,14,Champions
CUST-0093,Denise Jacobs,14,31,28720.79,4,5,5,14,Champions
CUST-0098,Deborah Figueroa,15,22,25106.78,4,5,5,14,Champions
CUST-0102,Cameron Parker,18,27,25455.06,4,5,5,14,Champions
CUST-0429,Robin Santiago,2,23,20128.43,5,5,4,14,Champions
CUST-0496,Lawrence Harrington,10,22,19099.989999999998,5,5,4,14,Champions
CUST-0130,Megan Orr,15,23,25096.59,4,5,5,14,Champions
CUST-0363,Bryan Gomez,12,23,22611.329999999998,4,5,5,14,Champions
CUST-0476,Julie Dominguez,6,21,23012.48,5,4,5,14,Champions
CUST-0260,Mrs. Kristen Reyes,12,23,27799.28,4,5,5,14,Champions
CUST-0263,Timothy Romero,13,26,27494.79,4,5,5,14,Champions
CUST-0470,Jeanette Harrison,19,24,22585.93,4,5,5,14,Champions
CUST-0333,Jordan Bates,6,20,19165.07,5,4,4,13,Champions
CUST-0140,Angel Perry,2,18,25507.21,5,3,5,13,Loyal Customers
CUST-0162,Jennifer Adkins,15,23,20082.54,4,5,4,13,Champions
CUST-0184,Ashley Barton,30,22,24798.9,3,5,5,13,Loyal Customers
CUST-0319,Stephen Hoffman,7,21,18631.54,5,4,4,13,Champions
CUST-0248,Frank Cordova,17,23,19548.99,4,5,4,13,Champions
CUST-0241,Andrew Avila,33,26,24533.64,3,5,5,13,Loyal Customers
CUST-0318,Ashley Hall,5,21,19391.210000000003,5,4,4,13,Champions
CUST-0164,Jeffrey Johnson,22,27,32845.72,3,5,5,13,Loyal Customers
CUST-0317,Lauren Carson,32,26,23003.66,3,5,5,13,Loyal Customers
CUST-0197,Daniel Salinas,24,28,26520.48,3,5,5,13,Loyal Customers
CUST-0360,Ronald Davis,4,20,19627.41,5,4,4,13,Champions
CUST-0103,Rebecca Valencia,8,19,22726.0,5,3,5,13,Loyal Customers
CUST-0044,Anthony Humphrey,3,19,22947.67,5,3,5,13,Loyal Customers
CUST-0095,John Whitehead,24,26,30258.59,3,5,5,13,Loyal Customers
CUST-0038,Cassandra Gaines,26,26,24446.45,3,5,5,13,Loyal Customers
CUST-0037,Sherri Baker,2,22,18934.01,5,4,4,13,Champions
CUST-0018,Derek Zuniga,23,29,35912.659999999996,3,5,5,13,Loyal Customers
CUST-0243,Kevin Walters,14,20,26925.92,4,4,5,13,Champions
CUST-0485,Jasmine Beltran,32,24,26346.89,3,5,5,13,Loyal Customers
CUST-0250,Kimberly Gutierrez,16,22,20069.47,4,5,4,13,Champions
CUST-0239,Sara Johnston,22,23,26850.739999999998,3,5,5,13,Loyal Customers
CUST-0473,Lori Ingram,34,22,29860.01,3,5,5,13,Loyal Customers
CUST-0225,Matthew Moore,26,26,23410.23,3,5,5,13,Loyal Customers
CUST-0232,Susan Serrano,2,24,15451.86,5,5,3,13,Loyal Customers
CUST-0213,Melissa Martinez,8,19,20511.73,5,4,4,13,Champions
CUST-0265,Yvonne Burns,14,21,22083.57,4,4,5,13,Champions
CUST-0444,Holly Valentine,14,20,23676.0,4,4,5,13,Champions
CUST-0389,Sandra Drake,20,19,26748.23,4,4,5,13,Champions
CUST-0382,Paul Wilson,7,19,19952.920000000002,5,4,4,13,Champions
CUST-0114,Crystal Johnson,22,27,23139.09,3,5,5,13,Loyal Customers
CUST-0055,Shannon Jones,6,22,15028.78,5,5,3,13,Loyal Customers
CUST-0053,Crystal Robinson,25,22,25204.19,3,5,5,13,Loyal Customers
CUST-0099,Jessica Smith,14,21,24037.97,4,4,5,13,Champions
CUST-0068,Carol Tucker,25,24,26726.68,3,5,5,13,Loyal Customers
CUST-0116,Diana May,6,21,20810.01,5,4,4,13,Champions
CUST-0110,Sharon Cochran,18,21,27283.91,4,4,5,13,Champions
CUST-0398,Gary Jackson,33,24,23412.83,3,5,5,13,Loyal Customers
CUST-0407,Lori Hernandez,18,20,24909.06,4,4,5,13,Champions
CUST-0384,Mr. Andrew Foster,49,27,23959.53,2,5,5,12,At Risk
CUST-0113,Julia Torres,43,25,23767.23,2,5,5,12,At Risk
CUST-0109,Evelyn Galvan,40,24,25343.81,2,5,5,12,At Risk
CUST-0129,Cameron Fisher,44,25,31506.41,2,5,5,12,At Risk
CUST-0433,Travis Tucker,7,18,20174.61,5,3,4,12,Loyal Customers
CUST-0072,Whitney Peters,48,27,22573.06,2,5,5,12,At Risk
CUST-0454,Cynthia Vang,6,18,18986.02,5,3,4,12,Loyal Customers
CUST-0283,Jessica Garcia,14,20,21819.57,4,4,4,12,Champions
CUST-0412,Lisa Hunter,21,20,18726.92,4,4,4,12,Champions
CUST-0133,Mary Marshall,2,19,20092.36,5,3,4,12,Loyal Customers
CUST-0003,Angie Henderson,15,21,19187.620000000003,4,4,4,12,Champions
CUST-0122,Kenneth Scott,4,22,13378.86,5,5,2,12,Loyal Customers
CUST-0425,Felicia Aguilar,21,21,17777.47,4,4,4,12,Champions
CUST-0420,Jake Campbell,5,22,12379.36,5,5,2,12,Loyal Customers
CUST-0096,Anna Henderson,25,22,18513.63,3,5,4,12,Loyal Customers
CUST-0126,Erin Edwards,65,25,25232.690000000002,2,5,5,12,At Risk
CUST-0048,Shane Henderson,37,24,28617.63,2,5,5,12,At Risk
CUST-0089,Lisa Archer,10,25,13026.03,5,5,2,12,Loyal Customers
CUST-0085,Zachary Ferrell,59,25,23448.99,2,5,5,12,At Risk
CUST-0097,Aaron Wise,11,21,18317.79,4,4,4,12,Champions
CUST-0012,Jamie Arnold,50,24,22485.92,2,5,5,12,At Risk
CUST-0249,Jose Travis,18,19,18715.17,4,4,4,12,Champions
CUST-0259,Denise Davenport,11,21,20414.91,4,4,4,12,Champions
CUST-0022,Patty Perez,8,18,19130.24,5,3,4,12,Loyal Customers
CUST-0324,Brandy Chavez,45,24,28851.66,2,5,5,12,At Risk
CUST-0313,Shannon Ramsey,29,22,20065.28,3,5,4,12,Loyal Customers
CUST-0187,Jonathan Peterson,11,22,16869.75,4,5,3,12,Loyal Customers
CUST-0309,Kiara Mcintyre,4,20,16746.95,5,4,3,12,Loyal Customers
CUST-0158,Jason Stein,4,21,16741.29,5,4,3,12,Loyal Customers
CUST-0168,Alyssa Day,41,23,24254.05,2,5,5,12,At Risk
CUST-0302,Heather Fields,21,21,20694.04,4,4,4,12,Champions
CUST-0169,Joel Williams,18,21,18908.91,4,4,4,12,Champions
CUST-0339,Scott Thomas,24,19,22097.059999999998,3,4,5,12,Loyal Customers
CUST-0268,Colin Terry,15,21,17895.84,4,4,4,12,Champions
CUST-0227,Kirk Carter,11,18,24259.82,4,3,5,12,Loyal Customers
CUST-0205,Erin Warner,6,19,18852.510000000002,5,3,4,12,Loyal Customers
CUST-0209,Dr. William Warren,3,24,13343.630000000001,5,5,2,12,Loyal Customers
CUST-0211,Christopher Smith,50,25,23547.8,2,5,5,12,At Risk
CUST-0223,Elizabeth Oliver Dds,19,20,17797.55,4,4,4,12,Champions
CUST-0222,Jeremy Dalton,14,23,15318.24,4,5,3,12,Loyal Customers
CUST-0375,Charles Schultz,6,19,16839.95,5,4,3,12,Loyal Customers
CUST-0344,Nichole Alvarez,11,18,22663.83,4,3,5,12,Loyal Customers
CUST-0337,Daniel Kane,29,19,22934.559999999998,3,4,5,12,Loyal Customers
CUST-0252,Olivia Harris,35,22,17289.89,3,5,3,11,Loyal Customers
CUST-0221,Courtney Mills,2,13,22922.12,5,1,5,11,New / Promising
CUST-0271,Jasmin Alvarado,29,21,20649.21,3,4,4,11,Loyal Customers
CUST-0290,Briana Murray,57,19,25616.56,2,4,5,11,At Risk
CUST-0274,Shelly Alexander,10,17,16793.44,5,3,3,11,Loyal Customers
CUST-0275,Joyce Bowen,8,20,12432.37,5,4,2,11,Loyal Customers
CUST-0036,Jeffrey Chavez,7,19,16056.99,5,3,3,11,Loyal Customers
CUST-0041,Paula Moreno,19,15,24663.25,4,2,5,11,New / Promising
CUST-0204,Joseph Coleman,71,23,25492.61,1,5,5,11,At Risk
CUST-0437,Ralph Anderson,9,17,15554.619999999999,5,3,3,11,Loyal Customers
CUST-0070,William Baker,11,19,20056.98,4,3,4,11,Loyal Customers
CUST-0071,Jordan Henderson,18,18,19895.0,4,3,4,11,Loyal Customers
CUST-0440,Jason Rhodes,19,22,12544.33,4,5,2,11,Loyal Customers
CUST-0431,Maria Henderson,17,19,17132.64,4,4,3,11,Loyal Customers
CUST-0492,Heather Bolton,36,19,18590.850000000002,3,4,4,11,Loyal Customers
CUST-0052,Danny Morgan,4,15,18975.64,5,2,4,11,New / Promising
CUST-0077,Angela Lopez,1,21,13255.53,5,4,2,11,Loyal Customers
CUST-0388,James Padilla,17,17,18717.09,4,3,4,11,Loyal Customers
CUST-0395,Tamara Davis,23,24,15215.89,3,5,3,11,Loyal Customers
CUST-0498,James Bradley,31,21,21037.88,3,4,4,11,Loyal Customers
CUST-0007,Abigail Shaffer,10,16,18923.079999999998,5,2,4,11,New / Promising
CUST-0452,Courtney Hayes,21,17,21872.76,4,3,4,11,Loyal Customers
CUST-0300,Amber Obrien,24,17,31552.71,3,3,5,11,Loyal Customers
CUST-0199,Adam Vaughan,52,21,28306.81,2,4,5,11,At Risk
CUST-0189,Madison Poole,2,19,15673.43,5,3,3,11,Loyal Customers
CUST-0143,Patricia Rodriguez,57,20,24430.260000000002,2,4,5,11,At Risk
CUST-0305,Maria Parker,27,19,19256.510000000002,3,4,4,11,Loyal Customers
CUST-0150,Stephanie Manning,8,19,16280.22,5,3,3,11,Loyal Customers
CUST-0166,John Anderson,6,16,18417.23,5,2,4,11,New / Promising
CUST-0373,Ellen Morgan,49,19,23876.47,2,4,5,11,At Risk
CUST-0351,Ana Hill,3,19,13344.32,5,4,2,11,Loyal Customers
CUST-0372,Debra White,35,24,17768.84,3,5,3,11,Loyal Customers
CUST-0065,Jessica Callahan,15,22,14328.65,4,5,2,11,Loyal Customers
CUST-0426,Gregory Ponce,45,26,21128.29,2,5,4,11,At Risk
CUST-0081,Kelly Donovan,22,19,23807.920000000002,3,3,5,11,Loyal Customers
CUST-0419,Jeffrey Mills,27,17,21962.19,3,3,5,11,Loyal Customers
CUST-0087,Shirley Suarez,14,17,23688.120000000003,4,2,5,11,New / Promising
CUST-0424,Mary Escobar,12,21,17389.94,4,4,3,11,Loyal Customers
CUST-0128,Jason Powell,23,24,17147.14,3,5,3,11,Loyal Customers
CUST-0415,Erica Alvarez,3,18,16602.14,5,3,3,11,Loyal Customers
CUST-0383,Douglas Gregory,63,22,20981.079999999998,2,5,4,11,At Risk
CUST-0014,Michele Williams,11,19,20133.23,4,3,4,11,Loyal Customers
CUST-0021,Margaret Hawkins Dds,41,24,21104.13,2,5,4,11,At Risk
CUST-0040,Brittany Farmer,5,16,20789.41,5,2,4,11,New / Promising
CUST-0240,Yvonne Chambers,25,20,19363.89,3,4,4,11,Loyal Customers
CUST-0279,Shannon James,5,20,14749.04,5,4,2,11,Loyal Customers
CUST-0218,Mark Brown,4,20,14159.81,5,4,2,11,Loyal Customers
CUST-0286,Elaine Brooks,65,23,18434.579999999998,2,5,4,11,At Risk
CUST-0151,David Wright,58,24,21058.06,2,5,4,11,At Risk
CUST-0142,David Douglas Jr.,72,23,22739.79,1,5,5,11,At Risk
CUST-0152,Pamela Boyd,2,22,12026.98,5,5,1,11,Loyal Customers
CUST-0327,Brett Burns,13,18,20116.56,4,3,4,11,Loyal Customers
CUST-0310,Dawn Summers,2,17,15410.460000000001,5,3,3,11,Loyal Customers
CUST-0196,Allen Rosales,5,18,17657.18,5,3,3,11,Loyal Customers
CUST-0192,Karen Graham,2,20,14596.82,5,4,2,11,Loyal Customers
CUST-0182,Tina Sanders,17,17,18369.27,4,3,4,11,Loyal Customers
CUST-0173,Joshua Cooke,53,24,20148.09,2,5,4,11,At Risk
CUST-0445,Mrs. Diane Reyes,49,18,22917.36,2,3,5,10,At Risk
CUST-0457,Dustin Gallegos,26,20,17747.74,3,4,3,10,Loyal Customers
CUST-0456,Marie Moody,11,20,14452.74,4,4,2,10,Loyal Customers
CUST-0449,Ryan Rosales,61,18,22369.760000000002,2,3,5,10,At Risk
CUST-0430,Nancy Jennings,16,17,17776.170000000002,4,3,3,10,Loyal Customers
CUST-0497,Austin Osborne,25,18,21314.41,3,3,4,10,Loyal Customers
CUST-0006,Connie Lawrence,96,20,24635.54,1,4,5,10,At Risk
CUST-0083,Michael Evans,15,21,12708.529999999999,4,4,2,10,Loyal Customers
CUST-0066,Amber Kidd,49,19,25434.45,2,3,5,10,At Risk
CUST-0104,Christine Wright,2,17,17094.79,5,2,3,10,New / Promising
CUST-0092,Brian Rodriguez,23,21,16189.08,3,4,3,10,Loyal Customers
CUST-0063,Connor West,7,16,15132.76,5,2,3,10,New / Promising
CUST-0050,Eric Carney,63,21,19016.64,2,4,4,10,At Risk
