order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,quantity,unit_price,discount,sales,profit,order_year,order_month,days_to_ship,profit_margin
ORD-007376,2023-01-01,2023-01-07,Standard Class,CUST-0436,Sophia Johnson,Consumer,Central,Illinois,Office Supplies,Art,8,47.21,0.0,377.68,49.98,2023,2023-01,6,0.1323
ORD-002406,2023-01-01,2023-01-05,Same Day,CUST-0399,Ashley Hicks,Home Office,Central,Michigan,Technology,Machines,6,490.78,0.0,2944.67,-234.65,2023,2023-01,4,-0.0797
ORD-001069,2023-01-01,2023-01-02,First Class,CUST-0003,Angie Henderson,Home Office,East,New York,Technology,Accessories,8,412.22,0.0,3297.78,1107.67,2023,2023-01,1,0.3359
ORD-001937,2023-01-01,2023-01-02,First Class,CUST-0032,James Ferrell,Home Office,West,Oregon,Technology,Machines,5,268.32,0.2,1073.26,-190.21,2023,2023-01,1,-0.1772
ORD-008787,2023-01-01,2023-01-07,Standard Class,CUST-0470,Jeanette Harrison,Corporate,South,Florida,Furniture,Furnishings,7,236.07,0.0,1652.49,27.21,2023,2023-01,6,0.0165
ORD-006157,2023-01-01,2023-01-07,Second Class,CUST-0158,Jason Stein,Corporate,South,Georgia,Office Supplies,Paper,3,26.19,0.0,78.58,-0.57,2023,2023-01,6,-0.0073
ORD-002176,2023-01-01,2023-01-08,Second Class,CUST-0368,Holly Farmer,Home Office,South,Georgia,Furniture,Tables,2,97.28,0.1,175.11,27.26,2023,2023-01,7,0.1557
ORD-005581,2023-01-01,2023-01-03,Standard Class,CUST-0375,Charles Schultz,Corporate,East,Massachusetts,Technology,Accessories,3,559.0,0.0,1677.0,55.88,2023,2023-01,2,0.0333
ORD-003439,2023-01-01,2023-01-06,Standard Class,CUST-0154,Devon Flores,Consumer,East,Massachusetts,Furniture,Furnishings,7,291.33,0.0,2039.28,126.4,2023,2023-01,5,0.062
ORD-003296,2023-01-02,2023-01-04,Standard Class,CUST-0290,Briana Murray,Corporate,West,Nevada,Office Supplies,Storage,4,32.73,0.0,130.94,1.14,2023,2023-01,2,0.0087
ORD-002509,2023-01-02,2023-01-03,Same Day,CUST-0341,Allison Smith,Consumer,Central,Texas,Office Supplies,Paper,7,12.9,0.15,76.76,30.32,2023,2023-01,1,0.395
ORD-008536,2023-01-02,2023-01-08,Standard Class,CUST-0126,Erin Edwards,Consumer,West,Nevada,Technology,Copiers,8,515.51,0.2,3299.29,16.64,2023,2023-01,6,0.005
ORD-003745,2023-01-02,2023-01-04,Second Class,CUST-0200,Nathan Freeman,Home Office,East,New Jersey,Furniture,Furnishings,5,268.8,0.0,1343.99,332.0,2023,2023-01,2,0.247
