order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,state,category,sub_category,quantity,unit_price,discount,sales,profit
ORD-006153,07/31/2024,08/06/2024,Second Class,CUST-0219,Justin Torres,Consumer,Central,Ohio,Furniture,Tables,6,187.1,0.3,785.82,-64.21
ORD-004283,2023-09-05,2023-09-09,Same Day,CUST-0187,Jonathan Peterson,Corporate,East,New York,Furniture,Tables,7,73.41,0.2,411.12,0.9
ORD-008038,2023-01-14,2023-01-19,Same Day,CUST-0476,Julie Dominguez,Corporate,South,Georgia,Office Supplies,Storage,4,36.46,0.2,116.69,10.96
ORD-000422,01/14/2023,20-Jan-2023,Same Day,CUST-0141,Cheyenne Horton,Home Office,Central,Michigan,Technology,Phones,5,265.27,0.0,1326.37,259.82
ORD-007915,2023-03-22,25-Mar-2023,Second Class,CUST-0346,Theresa Williams,Corporate,Central,Texas,Office Supplies,Art,5,55.21,,276.06,31.2
ORD-008556,10/06/2024,10-Oct-2024,Same Day,CUST-0136,Jose Schultz,Home Office,South,Florida,Office Supplies,Binders,4,29.76,0.15,101.19,-6.2
ORD-002806,15-Jan-2024,01/22/2024,First Class,CUST-0064,Donald Wright,Home Office,Central,Ohio,Office Supplies,Binders,7,41.93,0.0,293.48,106.23
ORD-005589,06/24/2023,2023-06-25,Standard Class,CUST-0284,Shelia Wallace,Corporate,Central,Michigan,Technology,Accessories,2,431.44,0.2,690.31,77.32
ORD-004897,31-Mar-2024,06-Apr-2024,Same Day,CUST-0491,Heather Williams,Consumer,West,California,Technology,Copiers,5,421.64,0.0,2108.18,74.34
ORD-003688,08/06/2023,08/09/2023,Standard Class,CUST-0340,David Thompson,Consumer,Central,Ohio,Office Supplies,Paper,8,39.94,0.2,255.62,60.5
ORD-007643,02/20/2023,02/27/2023,Same Day,CUST-0487,Monica Miller,Home Office,South,North Carolina,Technology,Accessories,3,249.38,0.15,635.92,-16.49
ORD-004250,04/28/2023,2023-05-02,Second Class,CUST-0271,Jasmin Alvarado,Consumer,South,Florida,Furniture,Tables,4,116.51,0.3,326.23,41.66
ORD-003081,20-Sep-2024,09/26/2024,First Class,CUST-0439,Rhonda Martin,Consumer,West,Oregon,Furniture,Bookcases,7,260.76,0.3,1277.71,133.63
ORD-008716,08-Jan-2024,01/09/2024,Same Day,CUST-0327,Brett Burns,Home Office,West,Nevada,Furniture,Bookcases,3,290.26,0.0,870.79,303.52
ORD-002536,12/04/2024,09-Dec-2024,Same Day,CUST-0044,Anthony Humphrey,Home Office,West,California,Technology,Copiers,8,258.53,0.0,2068.23,255.72
ORD-004908,26-May-2023,31-May-2023,First Class,CUST-0123,April Frost,Home Office,South,Georgia,Office Supplies,Binders,8,33.6,0.0,268.8,46.95
ORD-008479,15-Nov-2023,2023-11-20,Same Day,CUST-0006,Connie Lawrence,Home Office,EAST,New Jersey,Furniture,Furnishings,7,396.86,0.3,1944.61,114.3
ORD-007999,2023-11-01,2023-11-02,Second Class,CUST-0014,Michele Williams,Corporate,East,New York,Technology,Phones,7,542.84,0.0,3799.9,441.03
ORD-001236,2023-05-11,2023-05-15,Same Day,CUST-0286,Elaine Brooks,Corporate,South,Florida,Technology,Phones,2,528.76,0.0,1057.51,458.6
ORD-004007,12-Sep-2023,16-Sep-2023,Same Day,CUST-0076,Sarah Moore,Corporate,East,New York,Office Supplies,Paper,6,33.81,0.2,162.28,-1.09
ORD-005061,08/09/2023,2023-08-16,Same Day,CUST-0339,Scott Thomas,Home Office,Central,Michigan,Furniture,Bookcases,1,437.74,0.3,306.42,-17.8
ORD-007614,01/03/2023,10-Jan-2023,Second Class,CUST-0419,Jeffrey Mills,Corporate,West,California,Furniture,Furnishings,8,290.71,0.1,2093.15,307.09
ORD-005677,10/21/2024,27-Oct-2024,Standard Class,CUST-0198,Spencer Haynes,Home Office,East,New Jersey,Technology,Accessories,3,586.51,0.3,1231.68,202.46
ORD-003672,07-Aug-2023,2023-08-08,Same Day,CUST-0091,Matthew Mcmillan,Home Office,West,California,Office Supplies,Storage,6,43.94,0.2,210.92,-23.02
ORD-006932,24-Apr-2024,2024-04-25,,CUST-0469,,Consumer,Central,Texas,Furniture,Bookcases,2,185.79,,260.11,
ORD-008438,01/20/2024,01/25/2024,Second Class,CUST-0232,Susan Serrano,Home Office,Central,Ohio,Furniture,Furnishings,2,82.74,0.2,132.38,-4.19
ORD-000836,07/19/2023,2023-07-23,Standard Class,CUST-0497,Austin Osborne,Home Office,Central,Illinois,Technology,Copiers,6,371.33,0.15,1893.77,200.7
ORD-004043,26-Jan-2024,29-Jan-2024,Same Day,CUST-0222,Jeremy Dalton,Corporate,CENTRAL,Michigan,Technology,Machines,8,224.95,0.0,1799.59,320.72
ORD-002432,22-Oct-2023,10/26/2023,Second Class,CUST-0143,Patricia Rodriguez,Home Office,Central,Ohio,Technology,Copiers,2,317.56,0.0,635.12,-7.66
ORD-001269,2023-03-07,2023-03-13,Standard Class,CUST-0457,Dustin Gallegos,Consumer,West,California,Furniture,Bookcases,3,323.19,0.1,872.6,227.06
ORD-003930,07/05/2023,07/07/2023,Standard Class,CUST-0363,Bryan Gomez,Consumer,South,Georgia,Technology,Accessories,3,58.0,0.0,173.99,37.47
